user_id,user_link,user_name,user_nationality,level_tag,user_level,badge_tag,user_badge,game_tag,user_games,Cluster
76561198885897870,https://steamcommunity.com/profiles/76561198885897870/,沨,China,0-20,15,0-20,8,20-50,24,0
amberts,https://steamcommunity.com/id/amberts/,Amberts,,300-400,318,1000-2000,1327,2000-30000,2806,3
76561198976219015,https://steamcommunity.com/profiles/76561198976219015/,ANDY,,,-1,None,-1,None,-1,0
76561198891853990,https://steamcommunity.com/profiles/76561198891853990/,msn152,,0-20,6,None,-1,None,-1,0
liyev,https://steamcommunity.com/id/liyev/,莉耶芙,China,200-300,260,100-500,313,500-1000,855,1
76561198891331753,https://steamcommunity.com/profiles/76561198891331753/,Maikory,,100-200,133,100-500,210,500-1000,656,1
uiviwi,https://steamcommunity.com/id/uiviwi/,gg,,0-20,12,None,-1,None,-1,0
76561198172878946,https://steamcommunity.com/profiles/76561198172878946/,电玩MImi,China,50-100,61,20-50,49,2000-30000,2035,1
76561198369350588,https://steamcommunity.com/profiles/76561198369350588/,皮五爷,,0-20,19,20-50,27,100-500,252,0
76561198332857547,https://steamcommunity.com/profiles/76561198332857547/,酱油 w,"Hebei, China",0-20,7,0-20,5,50-100,61,0
76561199035472758,https://steamcommunity.com/profiles/76561199035472758/,世间繁星怎配你,,0-20,4,0-20,2,20-50,36,0
76561199011867411,https://steamcommunity.com/profiles/76561199011867411/,SShuai,,0-20,4,0-20,4,0-20,8,0
76561198866578435,https://steamcommunity.com/profiles/76561198866578435/,Gamewalker,,0-20,6,0-20,6,50-100,54,0
76561198107034771,https://steamcommunity.com/profiles/76561198107034771/,無限,China,0-20,10,0-20,4,100-500,135,0
akaiito,https://steamcommunity.com/id/akaiito/,AKAIITO,China,100-200,103,100-500,158,1000-2000,1230,1
76561198359394602,https://steamcommunity.com/profiles/76561198359394602/,感谢还在嘴硬送的飞机,China,0-20,9,0-20,6,50-100,50,0
76561199705553805,https://steamcommunity.com/profiles/76561199705553805/,修博,,0-20,3,0-20,3,20-50,43,0
76561198280758557,https://steamcommunity.com/profiles/76561198280758557/,音熠,,0-20,7,0-20,4,20-50,25,0
76561199095073993,https://steamcommunity.com/profiles/76561199095073993/,Amy DDD,,0-20,3,0-20,3,0-20,19,0
76561198321586624,https://steamcommunity.com/profiles/76561198321586624/,RTX 4090 の 蛋蛋,"Shanghai, Shanghai, China",50-100,68,100-500,162,100-500,373,1
soarredfox,https://steamcommunity.com/id/soarredfox/,soarredfox,"Yingkou, Liaoning, China",0-20,16,0-20,5,100-500,120,0
AmierBear,https://steamcommunity.com/id/AmierBear/,AmierBear,"Peking, Beijing, China",100-200,135,100-500,272,2000-30000,5182,1
76561198126749494,https://steamcommunity.com/profiles/76561198126749494/,萌新轻点打,China,0-20,9,0-20,7,20-50,49,0
76561199403547984,https://steamcommunity.com/profiles/76561199403547984/,𝙉𝙖𝙣,,0-20,10,0-20,9,100-500,126,0
